Date,Home/Neutral,Visitor/Neutral,Diifference
"Tue, Oct 17, 2017",Cleveland Cavaliers,Boston Celtics,3.0
"Tue, Oct 17, 2017",Golden State Warriors,Houston Rockets,-1.0
"Wed, Oct 18, 2017",Detroit Pistons,Charlotte Hornets,12.0
"Wed, Oct 18, 2017",Indiana Pacers,Brooklyn Nets,9.0
"Wed, Oct 18, 2017",Orlando Magic,Miami Heat,7.0
"Wed, Oct 18, 2017",Washington Wizards,Philadelphia 76ers,5.0
"Wed, Oct 18, 2017",Boston Celtics,Milwaukee Bucks,-8.0
"Wed, Oct 18, 2017",Memphis Grizzlies,New Orleans Pelicans,12.0
"Wed, Oct 18, 2017",Dallas Mavericks,Atlanta Hawks,-6.0
"Wed, Oct 18, 2017",Utah Jazz,Denver Nuggets,10.0
"Wed, Oct 18, 2017",San Antonio Spurs,Minnesota Timberwolves,8.0
"Wed, Oct 18, 2017",Phoenix Suns,Portland Trail Blazers,-48.0
"Wed, Oct 18, 2017",Sacramento Kings,Houston Rockets,-5.0
"Thu, Oct 19, 2017",Toronto Raptors,Chicago Bulls,17.0
"Thu, Oct 19, 2017",Oklahoma City Thunder,New York Knicks,21.0
"Thu, Oct 19, 2017",Los Angeles Lakers,Los Angeles Clippers,-16.0
"Fri, Oct 20, 2017",Charlotte Hornets,Atlanta Hawks,18.0
"Fri, Oct 20, 2017",Indiana Pacers,Portland Trail Blazers,-18.0
"Fri, Oct 20, 2017",Milwaukee Bucks,Cleveland Cavaliers,-19.0
"Fri, Oct 20, 2017",Philadelphia 76ers,Boston Celtics,-10.0
"Fri, Oct 20, 2017",Washington Wizards,Detroit Pistons,4.0
"Fri, Oct 20, 2017",Brooklyn Nets,Orlando Magic,5.0
"Fri, Oct 20, 2017",Minnesota Timberwolves,Utah Jazz,3.0
"Fri, Oct 20, 2017",Dallas Mavericks,Sacramento Kings,-5.0
"Fri, Oct 20, 2017",New Orleans Pelicans,Golden State Warriors,-8.0
"Fri, Oct 20, 2017",Phoenix Suns,Los Angeles Lakers,-2.0
"Sat, Oct 21, 2017",Toronto Raptors,Philadelphia 76ers,34.0
"Sat, Oct 21, 2017",Chicago Bulls,San Antonio Spurs,-10.0
"Sat, Oct 21, 2017",Cleveland Cavaliers,Orlando Magic,-21.0
"Sat, Oct 21, 2017",Houston Rockets,Dallas Mavericks,16.0
"Sat, Oct 21, 2017",Memphis Grizzlies,Golden State Warriors,10.0
"Sat, Oct 21, 2017",Miami Heat,Indiana Pacers,4.0
"Sat, Oct 21, 2017",New York Knicks,Detroit Pistons,-4.0
"Sat, Oct 21, 2017",Milwaukee Bucks,Portland Trail Blazers,3.0
"Sat, Oct 21, 2017",Denver Nuggets,Sacramento Kings,17.0
"Sat, Oct 21, 2017",Utah Jazz,Oklahoma City Thunder,9.0
"Sat, Oct 21, 2017",Los Angeles Clippers,Phoenix Suns,42.0
"Sun, Oct 22, 2017",Brooklyn Nets,Atlanta Hawks,12.0
"Sun, Oct 22, 2017",Oklahoma City Thunder,Minnesota Timberwolves,-2.0
"Sun, Oct 22, 2017",Los Angeles Lakers,New Orleans Pelicans,-7.0
"Mon, Oct 23, 2017",Detroit Pistons,Philadelphia 76ers,-11.0
"Mon, Oct 23, 2017",Miami Heat,Atlanta Hawks,11.0
"Mon, Oct 23, 2017",Houston Rockets,Memphis Grizzlies,-8.0
"Mon, Oct 23, 2017",Milwaukee Bucks,Charlotte Hornets,9.0
"Mon, Oct 23, 2017",Dallas Mavericks,Golden State Warriors,-30.0
"Mon, Oct 23, 2017",San Antonio Spurs,Toronto Raptors,4.0
"Mon, Oct 23, 2017",Denver Nuggets,Washington Wizards,-5.0
"Mon, Oct 23, 2017",Phoenix Suns,Sacramento Kings,2.0
"Tue, Oct 24, 2017",Cleveland Cavaliers,Chicago Bulls,7.0
"Tue, Oct 24, 2017",Orlando Magic,Brooklyn Nets,4.0
"Tue, Oct 24, 2017",Boston Celtics,New York Knicks,21.0
"Tue, Oct 24, 2017",Minnesota Timberwolves,Indiana Pacers,-23.0
"Tue, Oct 24, 2017",Portland Trail Blazers,New Orleans Pelicans,10.0
"Tue, Oct 24, 2017",Los Angeles Clippers,Utah Jazz,18.0
"Wed, Oct 25, 2017",Charlotte Hornets,Denver Nuggets,17.0
"Wed, Oct 25, 2017",Detroit Pistons,Minnesota Timberwolves,21.0
"Wed, Oct 25, 2017",Philadelphia 76ers,Houston Rockets,-1.0
"Wed, Oct 25, 2017",Brooklyn Nets,Cleveland Cavaliers,5.0
"Wed, Oct 25, 2017",Miami Heat,San Antonio Spurs,-17.0
"Wed, Oct 25, 2017",Oklahoma City Thunder,Indiana Pacers,18.0
"Wed, Oct 25, 2017",Dallas Mavericks,Memphis Grizzlies,9.0
"Wed, Oct 25, 2017",Phoenix Suns,Utah Jazz,9.0
"Wed, Oct 25, 2017",Golden State Warriors,Toronto Raptors,5.0
"Wed, Oct 25, 2017",Los Angeles Lakers,Washington Wizards,3.0
